aves_aa_564-44r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:35:36, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-44v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-left, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:35:51, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-45r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:36:32, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-45v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:36:43, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-46r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:36:50, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-46v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:36:58, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-47r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:37:02, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-47v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:37:07, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-48r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:37:09, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-48v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:37:15, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-49r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:37:18, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-49v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:37:24, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-50r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:38:04, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
