Id,Label,Cat
aves_aa_4R_auth_0333,"dettwiller, claus",personne
aves_aa_4R_auth_0334,"mentzer, adam",personne
aves_aa_4R_auth_0335,"klige, johanns",personne
aves_aa_4R_auth_0336,,personne
aves_aa_4R_auth_0337,"duntzenheim, claus",personne
aves_aa_4R_auth_0338,"eckboltzheim, von, johanns",personne
aves_aa_4R_auth_0339,"welsch, lienhart",personne
aves_aa_4R_auth_0340,"phye, heintz",personne
aves_aa_4R_auth_0341,"bergheim, von, claus",personne
aves_aa_4R_auth_0342,"heide, küntz",personne
aves_aa_4R_auth_0343,"gotzgans, johanns",personne
aves_aa_4R_auth_0344,"frankenheim, von, ottemann",personne
aves_aa_4R_auth_0345,,personne
aves_aa_4R_auth_0346,"trachenfeils, lienhart",personne
aves_aa_4R_auth_0347,"rheinstett, von, fritsch",personne
aves_aa_4R_auth_0348,,personne
aves_aa_4R_auth_0349,"schultheiss, johanns",personne
aves_aa_4R_auth_0350,"kerling, jacob",personne
aves_aa_4R_auth_0351,"sturmel, peter",personne
aves_aa_4R_auth_0352,"breitthor, johanns",personne
aves_aa_4R_auth_0353,"phye, reimbolt",personne
aves_aa_4R_auth_0354,"hirtzfelder, heinrich",personne
aves_aa_4R_auth_0355,"kühn, johanns",personne
aves_aa_4R_auth_0356,"missbach, peter",personne
aves_aa_4R_auth_0357,,personne
aves_aa_4R_auth_0358,"wissemburg, johanns",personne
aves_aa_4R_auth_0359,"kint, heintz",personne
aves_aa_4R_auth_0360,"linzer, claus",personne
aves_aa_4R_auth_0361,"rosemberg, küntz",personne
aves_aa_4R_auth_0362,"monschein, johanns",personne
aves_aa_4R_auth_0363,"schalk, obrecht",personne
aves_aa_4R_auth_0364,"hellen, zur, claus",personne
aves_aa_4R_auth_0365,"grünwalt, jacob",personne
aves_aa_4R_auth_0366,"neuwiller, johanns",personne
aves_aa_4R_auth_0367,"kesselring, johanns",personne
aves_aa_4R_auth_0368,"heiligenstein, von, behremann",personne
aves_aa_4R_auth_0369,"bauman, walther",personne
aves_aa_4R_auth_0370,"riffe, adam",personne
aves_aa_4R_auth_0371,"bischoff, johanns",personne
aves_aa_4R_auth_0372,"gerbot, konrat",personne
aves_aa_4R_auth_0373,,personne
aves_aa_4R_auth_0374,"rotgebe, jacob",personne
aves_aa_4R_auth_0375,"ammelung, johanns",personne
aves_aa_4R_auth_0376,"hellen, zur, johanns",personne
aves_aa_4R_auth_0377,"egen, claus",personne
aves_aa_4R_auth_0378,"büttener, claus",personne
aves_aa_4R_auth_0379,"rohrer, peter",personne
