Id,type,Label,corporation,betweenesscentrality,modularity_class,weighted degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality
aves_aa_4R_auth_0393,personne,"hellen, zur, johanns",corporation_des_pelletiers,0.000453,1,88,0.302642,4,0.460674,0.498645
aves_aa_4R_auth_0749,personne,"scherer, bernhart",corporation_des_barbiers_et_baigneurs,0.000445,2,104,0.29723,3,0.432908,0.474085
aves_aa_4R_auth_0223,personne,"mentzer, johanns",corporation_des_charrons,0.000441,0,57,0.17369,4,0.417834,0.457317
aves_aa_4R_auth_0889,personne,"hohenburg, von, götze",corporation_des_bateliers,0.00043,3,104,0.152232,4,0.380805,0.430979
aves_aa_4R_auth_0652,personne,"heiligenstein, von, anthenie",corporation_des_crieurs_et_mesureurs_de_vin,0.000427,2,112,0.324162,3,0.436364,0.480183
aves_aa_4R_auth_0676,personne,"krosswiller, johanns",corporation_des_tailleurs,0.000426,2,80,0.261424,3,0.441454,0.477812
aves_aa_4R_auth_0869,personne,"rottweil, von, johanns-erhart",corporation_des_marchands,0.000425,3,128,0.171892,4,0.38273,0.433943
aves_aa_4R_auth_0052,personne,"dolde, johanns",corporation_des_tisserands,0.000416,0,57,0.145967,5,0.388626,0.436518
aves_aa_4R_auth_0849,personne,"vogelsberg, bechtolt",corporation_des_tailleurs,0.000416,3,116,0.206571,4,0.389857,0.440549
aves_aa_4R_auth_0308,personne,"beildeck, adam",corporation_des_crieurs_et_mesureurs_de_vin,0.000414,0,56,0.162788,4,0.429319,0.46604
aves_aa_4R_auth_0485,personne,"winsticher, erhart",corporation_des_charpentiers,0.000411,1,85,0.297526,4,0.465689,0.499238
aves_aa_4R_auth_0363,personne,"breitthor, johanns",corporation_des_tailleurs,0.000409,1,56,0.240267,4,0.461755,0.491531
aves_aa_4R_auth_0143,personne,"meiger, johanns",corporation_des_bateliers,0.000405,0,83,0.183279,4,0.417657,0.462229
aves_aa_4R_auth_0397,personne,"messer, johanns",corporation_des_sauniers,0.000393,1,88,0.298501,4,0.457249,0.496274
aves_aa_4R_auth_0142,personne,"überhang, zum, hermann",corporation_des_tailleurs,0.000391,0,82,0.210322,4,0.430635,0.472984
aves_aa_4R_auth_0041,personne,"nellesheim, johanns",corporation_des_bateliers,0.000388,0,56,0.109525,5,0.370482,0.416277
aves_aa_4R_auth_0344,personne,"dettwiller, claus",corporation_des_regrattiers_cordiers_et_fruitiers,0.000386,1,56,0.208997,4,0.468571,0.49602
aves_aa_4R_auth_0360,personne,"schultheiss, johanns",corporation_des_boulangers,0.000383,1,56,0.198999,4,0.44185,0.477388
aves_aa_4R_auth_0933,personne,"trachenfeils, andres",corporation_des_sauniers,0.000383,3,80,0.094454,4,0.375429,0.418614
aves_aa_4R_auth_0374,personne,"monschein, johanns",corporation_des_tailleurs,0.000379,0,84,0.310292,4,0.476975,0.508723
aves_aa_4R_auth_0470,personne,"mentz, von,",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000379,1,56,0.258325,4,0.465689,0.494157
aves_aa_4R_auth_0324,personne,"brüchelin, johanns",corporation_des_pêcheurs,0.000378,0,56,0.223253,4,0.468571,0.49602
aves_aa_4R_auth_0273,personne,"klein, dietrich",corporation_des_charpentiers,0.000376,1,60,0.198829,4,0.465248,0.494495
aves_aa_4R_auth_0804,personne,"hage, frantz",corporation_des_bateliers,0.000374,3,101,0.221799,4,0.415716,0.457148
aves_aa_4R_auth_0445,personne,"ludemann, claus",corporation_des_drapiers,0.000367,1,56,0.232252,3,0.470139,0.496443
aves_aa_4R_auth_0545,personne,"baumgarter, erhart",corporation_des_cabaretiers,0.00036,1,85,0.347495,3,0.467681,0.502033
aves_aa_4R_auth_0232,personne,"kriegsheim, von, johanns",corporation_des_orfevres,0.000356,0,55,0.180207,4,0.453875,0.484502
aves_aa_4R_auth_0050,personne,"pfennigmann, johanns",corporation_des_barbiers_et_baigneurs,0.000354,0,55,0.139258,4,0.421053,0.458503
aves_aa_4R_auth_0922,personne,"frank, johanns",corporation_des_tailleurs,0.000353,3,80,0.100702,4,0.365663,0.409807
aves_aa_4R_auth_0655,personne,"ersam, johanns",corporation_des_jardiniers,0.000348,2,112,0.305868,3,0.43617,0.477642
aves_aa_4R_auth_0904,personne,"storck, konrat",corporation_des_gourmets_et_courtiers,0.000347,3,80,0.098932,4,0.375286,0.416836
aves_aa_4R_auth_0929,personne,"dietrich, michel",corporation_des_tailleurs,0.000347,3,80,0.104463,4,0.376723,0.418191
