Recid,nom,prenom,surnom
aves_aa_4R_auth_0421,rohrer,marx,
aves_aa_4R_auth_0422,koch,johanns,der junge
aves_aa_4R_auth_0423,haffener,sixt,
aves_aa_4R_auth_0424,hettemann,johanns,
aves_aa_4R_auth_0425,kempf,claus,
aves_aa_4R_auth_0426,bitsch,johanns,
aves_aa_4R_auth_0427,klein,johanns,
aves_aa_4R_auth_0428,windeck,heinrich,
aves_aa_4R_auth_0429,desche,heinrich,
aves_aa_4R_auth_0430,kiebel,johanns,
aves_aa_4R_auth_0431,speich,andres,
aves_aa_4R_auth_0432,pfaffe,claus,
aves_aa_4R_auth_0433,,konrat,"münster, vor dem"
aves_aa_4R_auth_0434,binnting,walther,
aves_aa_4R_auth_0435,,gabriel,
aves_aa_4R_auth_0436,meister,johanns,
aves_aa_4R_auth_0437,dahlheim,heinrich,
aves_aa_4R_auth_0438,"bergheim, von",johanns,der junge
aves_aa_4R_auth_0439,leutesheim,johanns,
aves_aa_4R_auth_0440,wolff,johanns,
aves_aa_4R_auth_0441,barpfennig,marx,
aves_aa_4R_auth_0442,lamperter,johanns,
aves_aa_4R_auth_0443,kücheler,claus,
aves_aa_4R_auth_0444,"rohr, von",claus,
aves_aa_4R_auth_0445,klaue,jacob,
aves_aa_4R_auth_0446,diebolt,peter,
aves_aa_4R_auth_0447,schüffel,heintz,"eber, zum"
aves_aa_4R_auth_0448,girbaden,johanns,
aves_aa_4R_auth_0449,lang,johanns,
aves_aa_4R_auth_0450,paulus,johanns,
aves_aa_4R_auth_0451,kress,konrat,
aves_aa_4R_auth_0452,bidermann,claus,
aves_aa_4R_auth_0453,winsticher,erhart,
aves_aa_4R_auth_0454,schlempe,heinrich,
aves_aa_4R_auth_0455,sporer,jacob,
aves_aa_4R_auth_0456,lang,claus,
aves_aa_4R_auth_0457,"wile, von",sifrit,
aves_aa_4R_auth_0458,rippel,michel,
aves_aa_4R_auth_0459,reimbolt,johanns,
aves_aa_4R_auth_0460,peter,johanns,
aves_aa_4R_auth_0461,siffermann,burkhart,
aves_aa_4R_auth_0462,hebnagel,johanns,
aves_aa_4R_auth_0463,haffener,jacob,
aves_aa_4R_auth_0464,herbst,peter,
aves_aa_4R_auth_0465,fuchs,oberlin,
aves_aa_4R_auth_0466,"lampertheim, von",ulrich,
aves_aa_4R_auth_0467,dingsheim,johanns,
aves_aa_4R_auth_0468,bösch,bechtolt,
aves_aa_4R_auth_0469,"altzheim, von",johanns,
aves_aa_4R_auth_0470,"rohr, von",peter,
aves_aa_4R_auth_0471,,michel,"sankt-stefans plan, auf"
aves_aa_4R_auth_0472,rhinau,johanns,
aves_aa_4R_auth_0473,freund,claus,
aves_aa_4R_auth_0474,brechter,bechtolt,
aves_aa_4R_auth_0475,leistmann,dietrich,
aves_aa_4R_auth_0476,,götze,
aves_aa_4R_auth_0477,hechde,johanns,
aves_aa_4R_auth_0478,duntzenheim,claus,
aves_aa_4R_auth_0479,diebolt,johanns,
aves_aa_4R_auth_0480,hirtzfelder,johanns,
aves_aa_4R_auth_0481,träger,johanns,
aves_aa_4R_auth_0482,sturm,erhart,
aves_aa_4R_auth_0483,,sigel,
aves_aa_4R_auth_0484,herrenstein,johanns,
aves_aa_4R_auth_0485,"mommenheim, von",jacob,
aves_aa_4R_auth_0486,,wernher,"steinstrasse, an der"
aves_aa_4R_auth_0487,bösch,friedrich,
aves_aa_4R_auth_0488,rippel,michel,der junge
aves_aa_4R_auth_0489,,johanns,"hirtz, zum"
aves_aa_4R_auth_0490,schnabel,heinrich,
aves_aa_4R_auth_0491,lamprecht,peter,
aves_aa_4R_auth_0492,"oberkirch, von",johanns,
aves_aa_4R_auth_0493,trachenfeils,johanns,
aves_aa_4R_auth_0494,könig,claus,
aves_aa_4R_auth_0495,seger,johanns,
aves_aa_4R_auth_0496,liebkint,oberlin,
aves_aa_4R_auth_0497,"ernoltzheim, von",claus,
aves_aa_4R_auth_0498,böschwiller,claus,
aves_aa_4R_auth_0499,"ettenheim, von",mathis,
aves_aa_4R_auth_0500,meiger,heinrich,
aves_aa_4R_auth_0501,berner,frantz,
aves_aa_4R_auth_0502,birbaum,heinrich,
aves_aa_4R_auth_0503,"steinstrasse, an der",khurin,"steinstrasse, an der"
aves_aa_4R_auth_0504,graff,anshelm,
aves_aa_4R_auth_0505,spiegel,johanns,
aves_aa_4R_auth_0506,brant,diebolt,
aves_aa_4R_auth_0507,gerbot,peter,
aves_aa_4R_auth_0508,klein,johanns,
aves_aa_4R_auth_0509,bechtolt,wilhelm,
aves_aa_4R_auth_0510,baumgarter,erhart,
aves_aa_4R_auth_0511,zerig,sifrit,
aves_aa_4R_auth_0512,"lahr, von",mathis,
aves_aa_4R_auth_0513,ott,johanns,
aves_aa_4R_auth_0514,stumpf,johanns,
aves_aa_4R_auth_0515,fachmann,claus,
aves_aa_4R_auth_0516,"molsheim, von",johanns,der junge
aves_aa_4R_auth_0517,klaumann,claus,
aves_aa_4R_auth_0518,spielmann,johanns,
aves_aa_4R_auth_0519,schwencker,johanns,
aves_aa_4R_auth_0520,"dürningen, von",sigel,
aves_aa_4R_auth_0521,klige,küntz,
aves_aa_4R_auth_0522,wormser,jacob,
aves_aa_4R_auth_0523,"berse, von",konrat,
aves_aa_4R_auth_0524,brettler,johanns,
aves_aa_4R_auth_0525,odratzheim,johanns,
aves_aa_4R_auth_0526,"issenhausen, von",erhart,
aves_aa_4R_auth_0527,"zabern, von",sifrit,
aves_aa_4R_auth_0528,spirer,diebolt,
aves_aa_4R_auth_0529,freiburger,jacob,
aves_aa_4R_auth_0530,hage,walther,"kettener, zum"
aves_aa_4R_auth_0531,"kork, von",peter,
aves_aa_4R_auth_0532,"schuttern, von",wilhelm,
aves_aa_4R_auth_0533,"gemersheim, von",johanns,
aves_aa_4R_auth_0534,meistersheim,johanns,
aves_aa_4R_auth_0535,wormser,völtz,
aves_aa_4R_auth_0536,walt,johanns,
aves_aa_4R_auth_0537,schmalriem,adolff,
aves_aa_4R_auth_0538,hirt,johanns,
aves_aa_4R_auth_0539,"brümath, von",peter,
