PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
Ulrich,Ulrich,"['masc', 'germanique']","['Ülrich', 'Ulrich', 'Uelrich', 'Uolrich', 'Ualrich', 'Ùlrich', 'Uͦlrich', 'Uͣlrich', 'Uͤlrich']"
Üntzel,,"['masc', 'germanique']","['Üntzel', 'Untzel']"
Veltin,Valentin,"['masc', 'latin']","['Veltin', 'Vellentin']"
Völtz,Volkmar,"['masc', 'germanique', 'diminutif']","['Voltz', 'Völtz', 'Volz', 'Völz', 'Volmar']"
Walther,Walther,"['masc', 'germanique']",['Walther']
Walther-Hiltebrant,,"['masc', 'compose', 'germanique']","['Walther Hiltbrant', 'Walther-Hiltebrant']"
Wendeling,,"['masc', 'germanique']",['Wendeling']
Wernher,Werner,"['masc', 'germanique']","['Wernher', 'Werner', 'Wernlin', 'Werlin']"
Wetzel,,"['masc', 'germanique']",['Wetzel']
Wilhelm,Guillaume,"['masc', 'germanique']",['Wilhelm']
Wirich,,"['masc', 'germanique']","['Wirich', 'Wyrich']"
Wolff,,"['masc', 'germanique']","['Wölffelin', 'Wolff', 'Wolffel']"
Wolffhelm,,"['masc', 'germanique']",['Wolffhelm']
Johanns-Dietrich,Jean-Thierry,"['masc', 'hébraïque', 'germanique', 'composé']","['Hanns Tietrich', 'Johanns-Dietrich']"
Erbe,Urbain,"['masc', 'latin']",['Erbe']
Hartmann,Hartman,"['masc', 'germanique']","['Hartman', 'Hartmann', 'Hertell']"
Lucas,Lucas,"['masc', 'latin']",['Lucas']
Kopff,,"['masc', 'germanique']","['Koppfelin', 'Kopff']"
Hörnel,,"['masc', 'germanique']","['Hörnelin', 'Hörnel']"
Exel,,"['masc', 'latin']",['Exel']
Köbel,,"['masc', 'germanique']","['Cöbelin', 'Köbel']"
Remig,Rémy,['masc'],"['Remmig', 'Remig']"
Ube,,['masc'],"['Ybey', 'Ube']"
Ulrich-Hensel,,"['masc', 'germanique', 'composé']","['UͦLrich Hensel', 'Ulrich-Hensel']"
Ennel,Anne,"['fém', 'hébraïque']","['Ennel', 'Ennelin', 'Anna', 'Ennell']"
Klore,Clara,"['fém', 'latin']","['Clore', 'Klore', 'Clerlin']"
Adelheit,Adélaïde,"['fém', 'germanique']",['Adelheit']
Elisabeth,Élisabeth,"['fém', 'hébraïque']","['Eilse', 'Elisabeth', 'Else']"
Katherin,Catherine,"['fém', 'grec']","['Katherin', 'Katherine', 'Katherina', 'Katherinn', 'Ketherin']"
Agnese,Agnès,"['fém', 'grec']","['Nese', 'Agnese']"
Mörlin,Merlin,['masc'],['Mörlin']
Andre,André,"['masc', 'grec']","['Endre', 'Andre']"
Lötschel,Charlotte,"['fém', 'germanique']","['Löttschel', 'Lötschel']"
Gerhart,Gérard,"['masc', 'germanique']",['Gerhart']
Meder,Médéric,"['masc', 'germanique']",['Meder']
Kristine,Christine,"['fém', 'grec']","['Cristine', 'Kristine']"
Dinlin,,['fém'],"['Dinlin', 'Dielin', 'Dynlin']"
Guntram,Gontran,"['masc', 'germanique']","['Güntram', 'Guntram']"
Gunther,,"['masc', 'germanique']","['Günther', 'Gunther']"
Klaue,,"['masc', 'germanique']","['Clawe', 'Klaue']"
Willibolt,,"['masc', 'germanique']","['Willebolt', 'Willibolt']"
Gisbrecht,,"['masc', 'germanique']","['Gisebrechte', 'Gisbrecht', 'Gibreht']"
Göiche,,"['masc', 'germanique']",['Göiche']
Eckhart,,"['masc', 'germanique']","['Eckart', 'Eckhart']"
Karl,Charles,"['masc', 'germanique']","['Karle', 'Karl']"
Ambrosius,Ambroise,"['masc', 'grec']",['Ambrosius']
Henneckin,,"['masc', 'germanique']","['Henckin', 'Henneckin', 'Hennickin']"
Gil,Gilles,"['masc', 'grec']",['Gil']
Rigel,,"['masc', 'germanique']","['Rygel', 'Rigel']"
Friedel,,"['masc', 'germanique']","['Fridelin', 'Friedel']"
Kleis,,"['masc', 'germanique']","['Cleisel', 'Kleis', 'Cleselin']"
Lienlin,,['fém'],['Lienlin']
Heileck,,"['fém', 'germanique']","['Heilecke', 'Heileck']"
Bride,,"['fém', 'germanique']",['Bride']
Güntel,,"['fém', 'germanique']",['Güntel']
Megel,,"['masc', 'germanique']","['Megil', 'Megel']"
Reynolt,,"['masc', 'germanique']",['Reynolt']
Lux,Luc,"['masc', 'latin']","['Lux', 'Lüx']"
Ottilie,Odile,"['fém', 'germanique']",['Ottilie']
Gertrut,Gertrude,"['fém', 'germanique']","['Gerhüs', 'Gertrut', 'Truwel']"
Melchior,Melchior,"['masc', 'hébraïque']","['Melchier', 'Melchior']"
Hammer,,['masc'],"['Hemmerlin', 'Hammer']"
Frillemann,,"['masc', 'germanique']","['Frilleman', 'Frillemann']"
Wierlin,,"['masc', 'germanique']",['Wierlin']
Augustinus,Augustin,"['masc', 'grec']",['Augustinus']
Ernel,,"['fém', 'germanique']","['Ernelin', 'Ernel']"
Ursula,Ursule,"['fém', 'germanique']","['Ursüla', 'Ursula']"
Pfutschel,,"['fém', 'germanique']","['Pfütschel', 'Pfutschel']"
Barbel,Barbara,"['fém', 'grec']",['Barbel']
Hettemann,,"['masc', 'germanique']","['Hettman', 'Hettemann']"
Lutz,,"['masc', 'germanique']","['Lutze', 'Lutz']"
Bürger,,"['masc', 'germanique']","['Burger', 'Bürger']"
Leben,,"['masc', 'germanique']",['Leben']
Walraff,,"['masc', 'germanique']",['Walraff']
Brigitte,Brigite,"['fém', 'celtique']","['Brigde', 'Brigitte']"
Hartung,,"['masc', 'germanique']","['Hartüng', 'Hartung']"
Margrede,Marguerite,"['fém', 'latin']","['Margretha', 'Margrede']"
Runnelin,,['fém'],"['Runelin', 'Runnelin']"
Johanns-Adam,Jean-Adam,"['masc', 'hébraïque', 'composé']","['Hanns Adam', 'Johanns-Adam']"
Claus-Johanns,Nicolas-Jean,"['masc', 'hébraïque', 'composé']","['Claus Johann', 'Claus-Johanns']"
Weldel,,"['masc', 'germanique']",['Weldel']
Dammer,,"['masc', 'germanique']",['Dammer']
Barant,,['masc'],['Barant']
Burmann,,"['masc', 'germanique']","['Burlin', 'Burmann']"
Schwartz,,"['masc', 'germanique']","['Swartz', 'Schwartz']"
Gottfried,,"['masc', 'germanique']","['Götfrit', 'Gottfried']"
